studentId,name,email,contact,department,intakeYear,semester
02210101,Tenzin Dorji,tenzin.dorji@cst.edu.bt,+975-17100101,Software Engineering,2021,1
02210102,Pema Wangchuk,pema.wangchuk@cst.edu.bt,+975-17100102,Software Engineering,2021,1
02220103,Karma Yangzom,karma.yangzom@cst.edu.bt,+975-17100103,Software Engineering,2022,2
02220104,Sonam Choden,sonam.choden@cst.edu.bt,+975-17100104,Software Engineering,2022,1
02230105,Ugyen Tshering,ugyen.tshering@cst.edu.bt,+975-17100105,Software Engineering,2023,2
02230106,Dawa Lhamo,dawa.lhamo@cst.edu.bt,+975-17100106,Software Engineering,2023,1
02240107,Rinchen Dorji,rinchen.dorji@cst.edu.bt,+975-17100107,Software Engineering,2024,2
02240108,Tshering Choden,tshering.choden@cst.edu.bt,+975-17100108,Software Engineering,2024,1
02240109,Phuntsho Wangdi,phuntsho.wangdi@cst.edu.bt,+975-17100109,Software Engineering,2024,2
02240110,Dechen Pemo,dechen.pemo@cst.edu.bt,+975-17100110,Software Engineering,2024,1
02210201,Norbu Tshering,norbu.tshering@cst.edu.bt,+975-17100201,Information Technology,2021,1
02210202,Kinley Wangmo,kinley.wangmo@cst.edu.bt,+975-17100202,Information Technology,2021,2
02220203,Jigme Dorji,jigme.dorji@cst.edu.bt,+975-17100203,Information Technology,2022,1
02220204,Sangay Choden,sangay.choden@cst.edu.bt,+975-17100204,Information Technology,2022,2
02230205,Tenzin Wangchuk,tenzin.wangchuk@cst.edu.bt,+975-17100205,Information Technology,2023,1
02230206,Dorji Wangmo,dorji.wangmo@cst.edu.bt,+975-17100206,Information Technology,2023,2
02240207,Pema Dorji,pema.dorji@cst.edu.bt,+975-17100207,Information Technology,2024,1
02240208,Sonam Tobgay,sonam.tobgay@cst.edu.bt,+975-17100208,Information Technology,2024,2
02240209,Karma Tshering,karma.tshering@cst.edu.bt,+975-17100209,Information Technology,2024,1
02240210,Deki Yangzom,deki.yangzom@cst.edu.bt,+975-17100210,Information Technology,2024,2
